Date,Close,Open,High,Low,Volume,Change %
30/04/2023,1040,1049,1049,1037,547781,-0.84%
23/04/2023,1049,1043,1049,1029,2800000,0.60%
16/04/2023,1043,1053,1058,1041,2490000,-0.95%
9/4/2023,1053,1074,1076,1053,3740000,-1.57%
2/4/2023,1070,1065,1085,1064,4060000,0.48%
26/03/2023,1065,1048,1068,1042,2940000,1.71%
19/03/2023,1047,1045,1052,1017,2510000,0.16%
12/3/2023,1045,1053,1063,1035,2970000,-0.75%
5/3/2023,1053,1025,1061,1025,2520000,2.75%
26/02/2023,1025,1040,1044,1013,2370000,-1.42%
19/02/2023,1040,1060,1095,1031,3370000,-1.86%
12/2/2023,1059,1055,1062,1032,2600000,0.38%
5/2/2023,1055,1077,1092,1054,2710000,-2.03%
29/01/2023,1077,1117,1118,1070,3780000,-3.58%
22/01/2023,1117,1108,1124,1108,604930,0.81%
15/01/2023,1108,1060,1112,1058,2420000,4.52%
8/1/2023,1060,1058,1066,1046,2740000,0.83%
1/1/2023,1051,1007,1066,1007,2430000,4.40%
25/12/2022,1007,1020,1022,984,2680000,-1.30%
18/12/2022,1020,1052,1066,1005,4180000,-3.05%
11/12/2022,1052,1052,1065,1026,4110000,0.06%
4/12/2022,1052,1080,1099,1035,5370000,-2.61%
27/11/2022,1080,971,1080,971,5740000,11.17%
20/11/2022,971,969,985,934,3360000,0.22%
13/11/2022,969,955,973,874,4090000,1.55%
6/11/2022,955,997,997,936,3330000,-4.27%
30/10/2022,997,1028,1044,975,3050000,-2.94%
23/10/2022,1027,1020,1045,962,3160000,0.74%
16/10/2022,1020,1062,1072,1014,2550000,-3.96%
9/10/2022,1062,1036,1068,999,3100000,2.50%
2/10/2022,1036,1132,1132,1022,3010000,-8.50%
25/09/2022,1132,1203,1203,1099,2970000,-5.91%
18/09/2022,1203,1234,1234,1197,2530000,-2.49%
11/9/2022,1234,1249,1258,1229,2550000,-1.18%
4/9/2022,1249,1281,1287,1229,3140000,-2.48%
28/08/2022,1281,1283,1288,1249,1870000,-0.16%
21/08/2022,1283,1269,1295,1253,3080000,1.06%
14/08/2022,1269,1262,1283,1262,3170000,0.54%
7/8/2022,1262,1252,1268,1246,3430000,0.77%
31/07/2022,1253,1206,1257,1206,3740000,3.85%
24/07/2022,1206,1191,1218,1179,2580000,0.97%
17/07/2022,1195,1179,1203,1169,2710000,1.32%
10/7/2022,1179,1171,1190,1145,2770000,0.68%
3/7/2022,1171,1206,1209,1143,2500000,-2.30%
26/06/2022,1199,1185,1222,1171,2720000,1.13%
19/06/2022,1185,1218,1222,1162,2880000,-2.61%
12/6/2022,1217,1284,1284,1192,3280000,-5.20%
5/6/2022,1284,1288,1317,1261,2910000,-0.30%
29/05/2022,1288,1285,1303,1276,2800000,0.20%
22/05/2022,1285,1241,1287,1203,2890000,3.61%
15/05/2022,1241,1183,1253,1157,2740000,4.90%
8/5/2022,1183,1329,1329,1181,3130000,-11.02%
